HARVARD	Sir
Mangroves	Musgroves
to	to
truth	make
over	over
her	her
little	little
patient	patient
to	to
their	their
cares	cares
and	and
Ive	leave
the	the
room	room
She	She
could	could
not	not
my	stay
It	It
might	might
have	have
been	been
an	an
opportunity	opportunity
of	of
watching	watching
the	the
lovet	loves
and	and
jalouliel	jealousies
of	of
the	the
fair—they	fourthey
were	were
now	now
altogether	altogether
but	but
the	she
could	could
any	stay
for	for
none	none
of	of
it	it
It	It
was	was
evident	evident
that	that
Clmrlct	Charles
Haytcr	Hayter
was	was
not	not
well	well
inclined	inclined
towardl	towards
Captain	Captain
“cntworth	Wentworth
She	She
had	had
a	a
strong	strong
imi	impression
prenrion	null
of	of
hi	his
having	having
laid	said
in	in
a	a
vext	vext
tone	tone
of	of
voice	voice
after	after
Captain	Captain
Wentworthl	Wentworths
interference	interference
“	null
You	You
ought	ought
to	to
have	have
minded	minded
nu	me
Walter	Walter
I	I
told	told
you	you
not	not
to	to
tune	teaze
ur	your
Int	aunt
5	null
and	and
could	could
comprehend	comprehend
hie	his
ngretung	regretting
that	that
pa	Captain
in	null
Wentworth	Wentworth
nhould	should
do	do
what	what
he	he
ought	ought
to	to
have	have
done	done
himself	himself
But	But
neither	neither
Charles	Charles
Haytel’t	Hayters
feelings	feelings
nor	nor
mybody’l	anybodys
feelingo	feelings
could	could
interest	interest
her	her
till	till
IhE	she
had	had
a	a
little	little
better	better
arranged	arranged
her	her
own	own
She	She
wan	was
ashamed	ashamed
of	of
lwnelf	herself
quite	quite
ashamed	ashamed
of	of
being	being
to	so
nervout	nervous
to	so
overcome	overcome
by	by
uch	such
a	a
triﬂe	trifle
but	but
to	so
it	it
war	was
and	and
it	it
required	required
a	a
long	long
application	application
of	of
Iolitude	solitude
and	and
reﬂection	reflection
to	to
recover	recover
her	her
Chutn	Chapter
5	10
THER	Other
oyportunitiee	opportunities
of	of
making	making
her	her
ohlervationv	observations
could	could
not	not
fail	fail
to	to
occur	occur
Anne	Anne
had	had
noon	soon
been	been
in	in
company	company
with	with
all	all
the	the
four	four
together	together
often	often
enough	enough
to	to
have	have
an	an
opinion	opinion
though	though
too	too
wine	wise
to	to
acknowledge	acknowledge
at	as
much	much
at	at
home	home
where	where
the	she
knew	knew
it	it
would	would
have	have
wliuﬁcd	satisfied
neithzrhmband	neither
null	husband
nor	nor
wife	wife
for	for
while	while
the	she
contidercd	considered
Louioa	Louisa
to	to
be	be
rather	rather
the	the
favourite	favourite
lhc	she
could	could
not	not
but	but
think	think
ml	as
far	far
at	as
the	she
might	might
llll’L‘	dare
to	to
judge	judge
from	from
memory	memory
and	and
experience	experience
that	that
Captain	Captain
Wentworth	Wentworth
was	was
not	not
in	in
love	love
with	with
either	either
They	They
were	were
more	more
in	in
love	love
with	with
him	him
yet	yet
there	there
it	it
war	was
not	not
love	love
It	It
won	was
a	a
little	little
fever	fever
Pnsmtsrorv	null
8	null
of	of
admiration	admiration
but	but
it	it
might	might
probably	probably
must	must
end	end
in	in
love	love
with	with
some	some
Charles	Charles
Hayter	Hayter
seemed	seemed
aware	aware
of	of
being	being
dighted	slighted
and	and
yet	yet
Henrietta	Henrietta
had	had
sometimes	sometimes
the	the
air	air
of	of
being	being
divided	divided
between	between
them	them
Anne	Anne
longed	longed
for	for
the	the
power	power
of	of
representing	representing
to	to
them	them
all	all
what	what
they	they
were	were
about	about
and	and
of	of
pointing	pointing
out	out
Iomc	some
of	of
the	the
evila	evils
they	they
were	were
expoaing	exposing
tlienuclm	themselves
to	to
She	She
did	did
not	not
attribute	attribute
guile	guile
to	to
any	any
It	It
war	was
the	the
highest	highest
utilfaction	satisfaction
to	to
her	her
to	to
believe	believe
Captain	Captain
Wentwonh	Wentworth
not	not
in	in
the	the
least	least
aware	aware
of	of
the	the
pain	pain
he	he
waa	was
occasioning	occasioning
There	There
was	was
no	no
triu	triumph
h	null
no	no
pitiful	pitiful
triumph	triumph
in	in
bi	his
manner	manner
He	He
had	had
p	probably
ly	null
never	never
heard	heard
and	and
never	never
thought	thought
of	of
any	any
claim	claims
of	of
Charla	Charles
Hayter	Hayter
He	He
wa	was
only	only
wrong	wrong
in	in
ac	accepting
ting	null
the	the
mentions	attentions
for	for
accepting	accepting
munt	must
be	be
the	the
word	word
of	of
two	two
young	young
women	women
at	at
once	once
After	After
a	a
ahort	short
struggle	struggle
however	however
Charles	Charles
Hayter	Hayter
seemed	seemed
to	to
quit	quit
the	the
ﬁeld	field
Three	Three
day	days
had	had
passed	passed
without	without
his	his
coming	coming
once	once
to	to
Uppercrou	Uppercross
a	a
moat	most
decided	decided
change	change
He	He
had	had
even	even
refused	refused
one	one
regular	regular
invitation	invitation
to	to
dinner	dinner
and	and
having	having
been	been
found	found
on	on
the	the
occasion	occasion
by	by
Mr	Mr
Mangrove	Musgrove
with	with
some	some
large	large
book	books
before	before
him	him
Mr	Mr
and	and
Mn	Mrs
Muagrove	Musgrove
were	were
sure	sure
all	all
could	could
not	not
be	be
right	right
and	and
talked	talked
with	with
grave	grave
faces	faces
of	of
hi	his
studying	studying
himself	himself
to	to
death	death
It	It
war	was
Mary’a	Marys
ho	hope
and	and
belief	belief
that	that
he	he
had	had
received	received
a	a
positive	positive
minarﬁorn	dismissal
null	from
Henrietta	Henrietta
and	and
her	her
husband	husband
lived	lived
under	under
the	the
constant	constant
dependance	dependence
of	of
Ieeing	seeing
him	him
tomorrow	tomorrow
Anne	Anne
could	could
only	only
feel	feel
that	that
Charlea	Charles
Huger	Hayter
wu	was
wise	wise
ne	One
morning	morning
about	about
this	this
time	time
Charles	Charles
Muwmve	Musgrove
and	and
Captain	Captain
Wentworth	Wentworth
being	being
gone	gone
sahooting	ashooting
together	together
at	as
the	the
sister	sisters
in	in
the	the
Cottage	Cottage
were	were
tilting	sitting
quietly	quietly
at	at
work	work
they	they
were	were
viaitcd	visited
at	at
the	the
window	window
by	by
the	the
sitters	sisters
from	from
the	the
Martinahouse	Mansionhouse
It	It
wan	was
a	a
very	very
line	fine
November	November
day	day
and	and
the	the
Mill	Miss
Muagrovel	Musgroves
came	came
through	through
the	the
little	little
grounds	grounds
and	and
stopped	stopped
for	for
no	no
other	other
purpose	purpose
than	than
to	to
say	say
that	that
they	they
were	were
going	going
84	null
PIRSUASION	null
to	to
take	take
I	a
long	long
walk	walk
and	and
therefore	therefore
concluded	concluded
Mary	Mary
could	could
not	not
like	like
to	to
go	go
with	with
them	them
and	and
when	when
Mary	Mary
immediately	immediately
lied	replied
with	with
tome	some
jealouty	jealousy
at	at
not	not
being	being
uppoeed	supposed
n	a
g	good
walker	walker
“	null
Oh	Oh
yea	yes
I	I
nhould	should
like	like
to	to
join	join
you	you
very	very
much	much
I	I
am	am
very	very
fond	fond
of	of
a	a
long	long
walk”	walk
Anne	Anne
felt	felt
pertuaded	persuaded
by	by
the	the
look	looks
of	of
the	the
two	two
girll	girls
that	that
it	it
was	was
preciaely	precisely
what	what
they	they
did	did
not	not
wish	wish
and	and
admired	admired
again	again
the	the
non	sort
of	of
necessity	necessity
which	which
the	the
family	family
habit	habits
uerned	seemed
to	to
produce	produce
of	of
everything	everything
being	being
to	to
be	be
communicated	communicated
and	and
everything	everything
being	being
to	to
be	be
done	done
together	together
however	however
undesired	undesired
and	and
inconvenient	inconvenient
She	She
tried	tried
to	to
diuade	dissuade
Mary	Mary
from	from
going	going
but	but
in	in
vain	vain
and	and
that	that
being	being
the	the
cane	case
thought	thought
it	it
beat	best
to	to
accept	accept
the	the
Min	Miss
Muegrovel	Musgroves
much	much
more	more
cordial	cordial
invitation	invitation
to	to
herself	herself
to	to
go	go
likewile	likewise
u	as
ehe	she
might	might
be	be
useful	useful
in	in
turning	turning
back	back
with	with
her	her
Illtm’	sister
and	and
lessening	lessening
the	the
interference	interference
in	in
any	any
plan	plan
of	of
their	their
own	own
“	null
I	I
cannot	cannot
imagine	imagine
why	why
they	they
should	should
uppoee	suppose
I	I
Ihould	should
not	not
like	like
a	a
long	long
walk	walk
raid	said
Mary	Mary
an	as
she	she
went	went
up	up
min	stairs
“	null
Everybody	Everybody
in	is
alwnyl	always
aupposin	supposing
that	that
I	I
am	am
not	not
A	a
good	good
walker	walker
and	and
yet	yet
they	they
wouﬁl	would
not	not
have	have
been	been
pleated	pleased
if	if
we	we
had	had
refused	refused
to	to
join	join
them	them
When	When
people	people
come	come
in	in
this	this
manner	manner
on	on
purpose	purpose
to	to
aek	ask
us	us
how	how
can	can
one	one
my	say
no	no
2	Just
Jun	as
at	null
they	they
were	were
letting	setting
off	off
the	the
gentlean	gentlemen
returned	returned
They	They
had	had
taken	taken
out	out
a	a
young	young
dog	dog
which	who
had	had
lpoilt	spoilt
their	their
sport	sport
and	and
sent	sent
them	them
back	back
early	early
Their	Their
time	time
and	and
arength	strength
and	and
iritt	spirits
were	were
therefore	therefore
exactly	exactly
ready	ready
for	for
thin	this
walk	walk
no	and
they	they
entered	entered
into	into
it	it
with	with
pleasure	pleasure
Could	Could
Anne	Anne
have	have
foreeeen	foreseen
web	such
a	a
junction	junction
the	she
would	would
have	have
amid	staid
at	at
home	home
but	but
from	from
name	some
feelings	feelings
of	of
interest	interest
and	and
curiolity	curiosity
he	she
fancied	fancied
now	now
‘that	that
it	it
war	was
too	too
late	late
to	to
retract	retract
and	and
the	the
whole	whole
six	six
not	set
forward	forward
together	together
in	in
the	the
direction	direction
chosen	chosen
b	by
the	the
Miss	Miss
Mulglovel	Musgroves
who	who
evidently	evidently
considered	considered
the	the
wa	walk
it	as
an	null
under	under
their	their
guidance	guidance
Anne’s	Annes
object	object
was	was
not	not
to	to
be	be
in	in
the	the
way	way
of	of
an	anybody
body	null
and	and
where	where
the	the
narrow	narrow
path	paths
across	across
the	the
ﬁeld	fields
madye	made
many	many
nnsmtsxon	separations
85	necessary
rations	to
neceesa	keep
to	null
with	with
her	her
brother	brother
and	and
3	sister
Her	Her
plruury	pleasure
in	in
dimk	the
null	walk
must	must
arise	arise
from	from
the	the
exercise	exercise
and	and
the	the
day	day
from	from
the	the
view	view
of	of
the	the
last	last
smiles	smiles
of	of
the	the
year	year
upon	upon
the	the
tawny	tawny
leaves	leaves
and	and
withered	withered
hedges	hedges
and	and
from	from
repeating	repeating
to	to
herself	herself
some	some
few	few
of	of
the	the
thousand	thousand
poetical	poetical
descriptions	descriptions
extant	extant
of	of
autumn	autumn
that	that
season	season
of	of
peculiar	peculiar
and	and
inexhaustible	inexhaustible
inﬂuence	influence
on	on
the	the
mind	mind
of	of
taste	taste
and	and
tenderness	tenderness
that	that
eeason	season
which	which
has	had
drawn	drawn
from	from
every	every
poet	poet
worthy	worthy
of	of
being	being
read	read
some	some
attempt	attempt
at	at
description	description
or	or
some	some
lines	lines
of	of
feeling	feeling
She	She
occupied	occupied
her	her
mind	mind
as	as
much	much
as	as
possible	possible
in	in
such	such
like	like
musings	musings
and	and
quotations	quotations
hut	but
it	it
Vlas	was
not	not
possible	possible
that	that
when	when
within	within
reach	reach
of	of
Captain	Captain
Wentworths	Wentworths
conversation	conversation
with	with
either	either
of	of
the	the
Miss	Miss
Musgmves	Musgroves
she	she
should	should
not	not
try	try
to	to
hear	hear
it	it
yet	yet
she	she
caught	caught
little	little
very	very
remarkable	remarkable
t	It
was	was
mm	mere
live	lively
y	null
chat	chat
such	such
as	as
any	any
oung	young
persons	persons
on	on
an	an
intimate	intimate
footing	footing
might	might
fall	fall
into	into
e	He
was	was
more	more
engaged	engaged
with	with
Louisa	Louisa
than	than
with	with
Henrietta	Henrietta
Louisa	Louisa
certainly	certainly
ut	put
more	more
forward	forward
for	for
his	his
notice	notice
than	than
her	her
sister	sister
This	This
stinction	distinction
appeared	appeared
to	to
increase	increase
and	and
there	there
was	was
one	one
speech	speech
of	of
Louisa’s	Louisas
which	which
struck	struck
her	her
After	After
one	one
of	of
the	the
man	many
praises	praises
of	of
the	the
day	day
which	which
were	were
continually	continually
bursting	bursting
orth	forth
Captain	Captain
Wentwortlt	Wentworth
added	added
—	null
What	What
glorious	glorious
weather	weather
for	for
the	the
Admiral	Admiral
and	and
my	my
sisterl	sister
They	They
meant	meant
to	to
take	take
I	a
long	long
drive	drive
this	this
morning	morning
perhaps	perhaps
we	we
may	may
hail	hail
them	them
from	from
some	some
of	of
these	these
hills	hills
They	They
talked	talked
of	of
coming	coming
into	into
this	this
side	side
of	of
the	the
country	country
null	I
wonder	wonder
whereabouts	whereabouts
they	they
will	will
upset	upset
today	today
Ohl	Oh
it	it
does	does
happen	happen
very	very
often	often
I	I
assure	assure
you	you
but	but
my	my
sister	sister
makes	makes
nothing	nothing
of	of
it	it
she	she
would	would
as	as
lieve	lieve
be	be
tossed	tossed
out	out
It	as
not”	not
“Ah	Ah
you	You
make	make
the	the
most	most
of	of
it	it
I	I
know	know
cried	cried
Louisa	Louisa
“but	but
ilit	if
null	it
were	were
really	really
so	so
I	I
should	should
do	do
just	just
the	the
same	same
in	in
her	her
place	place
If	If
I	I
loved	loved
a	a
man	man
an	as
she	she
loves	loves
the	the
Admiral	Admiral
I	I
would	would
always	always
be	be
with	with
him	him
nothing	nothing
should	should
ever	ever
separate	separate
us	us
and	and
I	I
would	would
rather	rather
be	be
overturned	overturned
by	by
him	him
than	than
driven	driven
safely	safely
by	by
anybody	anybody
else	else
86	null
szsuasrorr	null
It	It
wan	was
epolten	spoken
with	with
enthulaem	enthusiasm
“	null
Had	Had
you	you
i	null
cried	cried
he	he
catching	catching
the	the
lame	same
tone	tone
I	I
honour	honour
you	you
”	null
And	And
there	there
wan	was
silence	silence
between	between
them	them
for	for
a	a
little	little
while	while
Anne	Anne
could	could
not	not
immediately	immediately
fall	fall
into	into
a	a
quotation	quotation
again	again
The	The
sweet	sweet
ecenee	scenes
of	of
autumn	autumn
were	were
for	for
a	a
while	while
put	put
by	by
unless	unless
some	some
tender	tender
rennet	sonnet
fraught	fraught
with	with
the	the
apt	apt
analogy	analogy
of	of
the	the
declining	declining
year	year
with	with
declining	declining
hap	happiness
neu	null
and	and
the	the
images	images
of	of
youth	youth
and	and
hope	hope
and	and
ring	spring
all	all
gone	gone
together	together
blunted	blessed
ner	her
memory	memory
She	She
ro	roused
herelf	herself
to	to
nay	say
ll	as
they	they
rtruck	struck
by	by
order	order
into	into
another	another
th	path
“	Is
II	null
not	not
thin	this
one	one
of	of
the	the
wa	ways
I	null
to	to
Winthrop	Winthrop
”	But
git	null
nobody	nobody
heard	heard
or	or
at	at
least	least
nobody	nobody
answered	answered
her	her
Winthrop	Winthrop
however	however
or	or
it	its
environs—Jar	environsfor
young	young
men	men
are	are
nometimel	sometimes
to	to
be	be
met	met
with	with
strolling	strolling
about	about
near	near
home—wan	homewas
their	their
deetination	destination
and	and
after	after
another	another
half	half
mile	mile
of	of
gradual	gradual
ascent	ascent
through	through
large	large
cnclorurel	enclosures
where	where
the	the
plough	ploughs
at	at
work	work
and	and
the	the
fresh	fresh
made	made
Ipath	path
spoke	spoke
the	the
farmer	farmer
counteracting	counteracting
the	the
tween	sweets
of	of
poetic	poetical
deepondenee	despondence
and	and
meaning	meaning
to	to
have	have
spring	spring
again	again
they	they
gained	gained
the	the
lummit	summit
of	of
the	the
most	most
oonliderable	considerable
hill	hill
which	which
parted	parted
Uppercmu	Uppercross
and	and
Winthro	Winthrop
and	and
noon	soon
commanded	commanded
a	a
full	full
view	view
of	of
the	the
latter	latter
at	at
the	the
not	foot
of	of
the	the
hill	hill
on	on
the	the
other	other
aide	side
Winthrop	Winthrop
without	without
beauty	beauty
and	and
without	without
dignity	dignity
wastretched	was
null	stretched
before	before
them	them
an	an
indifferent	indifferent
houle	house
Itanding	standing
low	low
and	and
hemmed	hemmed
in	in
by	by
the	the
barnr	barns
and	and
building	buildings
of	of
a	a
farm	farmyard
ard	null
y	null
Mary	Mary
exclaimed	exclaimed
“	Bless
13ch	null
me	me
here	here
in	is
Winthrop	Winthrop
I	I
declare	declare
I	I
had	had
no	no
idea	idea
Well	Well
now	now
I	I
think	think
we	we
had	had
better	better
turn	turn
back	back
I	I
am	am
exceuively	excessively
tired	tired
Henrietta	Henrietta
conecioua	conscious
and	and
ahamed	ashamed
and	and
Ieeing	seeing
no	no
cousin	cousin
Charles	Charles
walking	walking
along	along
